attempt_id,run_id,proposal_id,family,window,scope,status,decision,gate_code,reason,returncode,net,pf,dd_pct,trades,deal_rows,deal_sha256,effective_lots,baseline_lots,lot_step_verified,pb_rows,sca_rows,eth_rows,funding_rows,bfx_rows,magic_gate_pass,regression_pass,ea_sha256,parameter_json,config_file,deal_file,from_date,to_date,started_at,finished_at,elapsed_seconds,error
3670d2388461480e88481f0dd959ad6a,gdd2_is_baseline_off_20260816081334_3670d2,BASELINE_OFF,regression,IS,GOLD2,OK,REGRESSION_PASS,SHA256_EXACT,exact OFF regression,0,2394.57,1.9489,15.2162,307,614,5B93B3C88151C2EE1555DE70DF899A0EEC83E8D339A9972D684A14347FB15DBC,0.01|0.02,0.01|0.02,,130,484,0,0,0,True,True,,{},ml\gold_dd2\configs\gdd2_is_baseline_off_20260816081334_3670d2.yaml,ml\gold_dd2\deals\gdd2_is_baseline_off_20260816081334_3670d2_deals.csv,2021.06.21,2026.06.20,2026-08-15T23:13:34+00:00,2026-08-15T23:14:44+00:00,70.429,
5d939c6d93174ece8f2ea8e836e2ec51,gdd2_oos_baseline_off_20260816081444_5d939c,BASELINE_OFF,regression,OOS,GOLD2,OK,REGRESSION_PASS,SHA256_EXACT,exact OFF regression,0,579.46,1.4161,12.4321,318,636,1D4C5CA14C874C2268EEAF4F5A8DF2C6A452B13EA9E376A3496E8E8DE2495FAE,0.01|0.02,0.01|0.02,,104,532,0,0,0,True,True,,{},ml\gold_dd2\configs\gdd2_oos_baseline_off_20260816081444_5d939c.yaml,ml\gold_dd2\deals\gdd2_oos_baseline_off_20260816081444_5d939c_deals.csv,2016.06.21,2021.06.20,2026-08-15T23:14:44+00:00,2026-08-15T23:15:30+00:00,45.374,
0c3866e45aeb440bab5e2aebf79b3494,gdd2_is_gdd01_01_20260816081538_0c3866,GDD01_01,overlap_mutex,IS,GOLD2,OK,IS_SURVIVOR_TRADEOFF,NOT_CLEARLY_INFERIOR,"IS net=2306.10 (0.9631x), PF=2.0473 (1.0505x), DD=16.0256% (1.0532x); baseline net=2394.57, PF=1.9489, DD=15.2162%",0,2306.1,2.0473,16.0256,284,568,471592387E106BEEDA2F880B009FB0E0A22D3A00F1173C43A7D0573305E0ED7E,0.01|0.02,0.01|0.02,True,124,444,0,0,0,True,,,"{""GoldLabOverlapCooldownHours"": 0, ""GoldLabOverlapPolicy"": 1}",ml\gold_dd2\configs\gdd2_is_gdd01_01_20260816081538_0c3866.yaml,ml\gold_dd2\deals\gdd2_is_gdd01_01_20260816081538_0c3866_deals.csv,2021.06.21,2026.06.20,2026-08-15T23:15:38+00:00,2026-08-15T23:16:43+00:00,65.382,
62c1cb8e547548149b9537ea2141ac3c,gdd2_is_gdd10_01_20260816081643_62c1cb,GDD10_01,pb_ema_pair,IS,GOLD2,OK,IS_REJECT,DOMINATED,"IS net=2365.73 (0.9880x), PF=1.7128 (0.8789x), DD=19.8751% (1.3062x); baseline net=2394.57, PF=1.9489, DD=15.2162%",0,2365.73,1.7128,19.8751,330,660,A5A01F415115EA0DD1CFAF001AD681CC89E31DE0DB8777599D3B5A13F2F30B10,0.01|0.02,0.01|0.02,True,176,484,0,0,0,True,,,"{""GoldLabPBFastEMA"": 5, ""GoldLabPBSlowEMA"": 20}",ml\gold_dd2\configs\gdd2_is_gdd10_01_20260816081643_62c1cb.yaml,ml\gold_dd2\deals\gdd2_is_gdd10_01_20260816081643_62c1cb_deals.csv,2021.06.21,2026.06.20,2026-08-15T23:16:43+00:00,2026-08-15T23:17:54+00:00,70.374,
084a8bd3ee8343aeb4d4c01671cad8d5,gdd2_is_gdd37_01_20260816081754_084a8b,GDD37_01,daily_loss_cap,IS,GOLD2,OK,IS_SURVIVOR_TRADEOFF,NOT_CLEARLY_INFERIOR,"IS net=2161.13 (0.9025x), PF=1.8652 (0.9571x), DD=15.0429% (0.9886x); baseline net=2394.57, PF=1.9489, DD=15.2162%",0,2161.13,1.8652,15.0429,303,606,557FC67EB411055783AC8D7C6D331EDA4B2B5F46B59BED7031ABD7C3530827BE,0.01|0.02,0.01|0.02,True,128,478,0,0,0,True,,,"{""GoldLabDailyLossCapJPY"": 1000}",ml\gold_dd2\configs\gdd2_is_gdd37_01_20260816081754_084a8b.yaml,ml\gold_dd2\deals\gdd2_is_gdd37_01_20260816081754_084a8b_deals.csv,2021.06.21,2026.06.20,2026-08-15T23:17:54+00:00,2026-08-15T23:19:14+00:00,80.369,
0110b3019756458692ed2d8ec89cf6f6,gdd2_is_baseline_production_20260816082040_0110b3,BASELINE_PRODUCTION,regression,IS,GOLD2,OK,REGRESSION_PASS,SHA256_EXACT,exact OFF regression,0,2429.34,1.986,12.3039,305,610,EF56DBFF7FED514534ED5228C911125D188928B810FCD8541C5174F45FDC2331,0.01|0.02,0.01|0.02,,126,484,0,0,0,True,True,,{},ml\gold_dd2\configs\gdd2_is_baseline_production_20260816082040_0110b3.yaml,ml\gold_dd2\deals\gdd2_is_baseline_production_20260816082040_0110b3_deals.csv,2021.06.21,2026.06.20,2026-08-15T23:20:40+00:00,2026-08-15T23:21:45+00:00,65.405,
17181a529a3f4bbb889ced8ed9ff0dba,gdd2_oos_baseline_production_20260816082145_17181a,BASELINE_PRODUCTION,regression,OOS,GOLD2,OK,REGRESSION_PASS,SHA256_EXACT,exact OFF regression,0,647.28,1.4886,12.0079,315,630,886EC460BB89E27A11DA68DACCB08213B7D871EB7679C350CAA3526C7BDFBE62,0.01|0.02,0.01|0.02,,98,532,0,0,0,True,True,,{},ml\gold_dd2\configs\gdd2_oos_baseline_production_20260816082145_17181a.yaml,ml\gold_dd2\deals\gdd2_oos_baseline_production_20260816082145_17181a_deals.csv,2016.06.21,2021.06.20,2026-08-15T23:21:45+00:00,2026-08-15T23:22:30+00:00,45.389,
d7f26901934c46ab80d34890707a39c5,gdd2p_is_gdd01_01_20260816082237_d7f269,GDD01_01,overlap_mutex,IS,GOLD2,OK,IS_SURVIVOR_TRADEOFF,NOT_CLEARLY_INFERIOR,"IS net=2345.89 (0.9656x), PF=2.0835 (1.0491x), DD=13.0764% (1.0628x); baseline net=2429.34, PF=1.9860, DD=12.3039%",0,2345.89,2.0835,13.0764,284,568,F74A1B2F2859884614F874C87EE9F0BE824DEC15AAD3F76287671928ACEF157C,0.01|0.02,0.01|0.02,True,118,450,0,0,0,True,,,"{""GoldLabOverlapCooldownHours"": 0, ""GoldLabOverlapPolicy"": 1}",ml\gold_dd2\configs\gdd2p_is_gdd01_01_20260816082237_d7f269.yaml,ml\gold_dd2\deals\gdd2p_is_gdd01_01_20260816082237_d7f269_deals.csv,2021.06.21,2026.06.20,2026-08-15T23:22:37+00:00,2026-08-15T23:23:42+00:00,65.381,
2a5747859bb1461a8e5f729a37fc2cde,gdd2p_is_gdd10_01_20260816082342_2a5747,GDD10_01,pb_ema_pair,IS,GOLD2,OK,IS_REJECT,DOMINATED,"IS net=2263.51 (0.9317x), PF=1.6705 (0.8411x), DD=18.3485% (1.4913x); baseline net=2429.34, PF=1.9860, DD=12.3039%",0,2263.51,1.6705,18.3485,328,656,BE0CAFAD5782B22AB1767F1C4D323ADF3718254959B8B072C62C92DC23B2087D,0.01|0.02,0.01|0.02,True,172,484,0,0,0,True,,,"{""GoldLabPBFastEMA"": 5, ""GoldLabPBSlowEMA"": 20}",ml\gold_dd2\configs\gdd2p_is_gdd10_01_20260816082342_2a5747.yaml,ml\gold_dd2\deals\gdd2p_is_gdd10_01_20260816082342_2a5747_deals.csv,2021.06.21,2026.06.20,2026-08-15T23:23:42+00:00,2026-08-15T23:24:53+00:00,70.374,
031e3f5328af4618ad7ce055dc22dce3,gdd2p_is_gdd37_01_20260816082453_031e3f,GDD37_01,daily_loss_cap,IS,GOLD2,OK,IS_SURVIVOR_STRICT,STRICT,"IS net=2429.47 (1.0001x), PF=1.9965 (1.0053x), DD=12.1645% (0.9887x); baseline net=2429.34, PF=1.9860, DD=12.3039%",0,2429.47,1.9965,12.1645,302,604,5A9C79945C450E74D1BB93E62D8491E3927145BC7B1BAC57341CE28C9E5B3308,0.01|0.02,0.01|0.02,True,124,480,0,0,0,True,,,"{""GoldLabDailyLossCapJPY"": 1000}",ml\gold_dd2\configs\gdd2p_is_gdd37_01_20260816082453_031e3f.yaml,ml\gold_dd2\deals\gdd2p_is_gdd37_01_20260816082453_031e3f_deals.csv,2021.06.21,2026.06.20,2026-08-15T23:24:53+00:00,2026-08-15T23:26:13+00:00,80.364,
