attempt_id,run_id,proposal_id,id,family,classification,window,scope,from_date,to_date,crypto_included,status,decision,gate_code,reason,returncode,net_jpy,pf_jpy,dd_amount_jpy,dd_jpy,deal_rows,effective_lots,baseline_lots,lot_step_verified,eth_present,eth_rows,funding_present,funding_rows,bfx_present,bfx_rows,magic_gate_pass,parameter_json,equity_log_file,config_file,started_at,finished_at,elapsed_seconds,error
,,OFF,OFF,,,IS,,,,,OK,,,,0,331176.79,1.8718825447675405,32052.719999999972,32.05271999999997,608,0.01|0.02,,,,,,,,,,,,,,,,
,,MUTEX,MUTEX,,,IS,,,,,OK,,,,0,331953.47,2.013761883672353,31625.26999999999,31.62526999999999,558,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_SL100,PB_SL100,,,IS,,,,,OK,,,,0,271663.95,1.8462545230939458,26628.33000000006,26.62833000000006,650,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_SL125,PB_SL125,,,IS,,,,,OK,,,,0,298246.39,1.8703632968097335,29568.580000000016,29.568580000000015,650,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_SL150,PB_SL150,,,IS,,,,,OK,,,,0,312580.72,1.8650251686377322,28263.46000000002,28.26346000000002,636,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_SL175,PB_SL175,,,IS,,,,,OK,,,,0,359907.19,2.0129090270230794,30144.690000000002,30.14469,618,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_ADX25,PB_ADX25,,,IS,,,,,OK,,,,0,322483.44,1.8936737205115135,32052.719999999972,32.05271999999997,594,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_ADX275,PB_ADX275,,,IS,,,,,OK,,,,0,285113.19,1.806043793547781,32052.719999999972,32.05271999999997,586,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_ADX30,PB_ADX30,,,IS,,,,,OK,,,,0,294812.57,1.8524050937417686,31880.649999999965,31.880649999999964,586,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_ADX35,PB_ADX35,,,IS,,,,,OK,,,,0,285956.63,1.9710029156237558,31880.649999999965,31.880649999999964,550,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_SLOPE15,PB_SLOPE15,,,IS,,,,,OK,,,,0,232893.41999999998,1.758948084529066,39942.17000000001,39.94217000000001,556,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_SLOPE18,PB_SLOPE18,,,IS,,,,,OK,,,,0,205167.28,1.7442074325170618,29168.050000000047,29.168050000000047,530,0.01|0.02,,,,,,,,,,,,,,,,
,,PB_SLOPE20,PB_SLOPE20,,,IS,,,,,OK,,,,0,166780.79,1.6299274317820114,27541.49000000005,27.54149000000005,510,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_MAX060,SCA_MAX060,,,IS,,,,,OK,,,,0,224694.91,1.7671753435526227,29406.76999999999,29.40676999999999,446,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_MAX070,SCA_MAX070,,,IS,,,,,OK,,,,0,255729.4,1.778151175048154,27877.770000000033,27.877770000000034,526,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_MAX080,SCA_MAX080,,,IS,,,,,OK,,,,0,282919.16,1.792769157164402,32052.719999999972,32.05271999999997,562,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_MAX090,SCA_MAX090,,,IS,,,,,OK,,,,0,330087.83,1.9011542324865438,32052.719999999972,32.05271999999997,596,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_BUF075,SCA_BUF075,,,IS,,,,,OK,,,,0,289416.76,1.7913329830962579,32052.719999999972,32.05271999999997,558,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_BUF100,SCA_BUF100,,,IS,,,,,OK,,,,0,268949.0,1.7498236604466897,32052.719999999972,32.05271999999997,514,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_BUF150,SCA_BUF150,,,IS,,,,,OK,,,,0,243290.97,1.7919473768056207,33578.630000000005,33.578630000000004,414,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_RR100,SCA_RR100,,,IS,,,,,OK,,,,0,290393.97,1.764514426112859,32052.719999999972,32.05271999999997,608,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_RR125,SCA_RR125,,,IS,,,,,OK,,,,0,316165.26,1.8323619884590674,32052.719999999972,32.05271999999997,608,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_RR200,SCA_RR200,,,IS,,,,,OK,,,,0,315532.07,1.8306950017462567,32052.719999999972,32.05271999999997,608,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_NOBOOST,SCA_NOBOOST,,,IS,,,,,OK,,,,0,313750.42,1.8841645897163357,32052.719999999972,32.05271999999997,608,0.01,,,,,,,,,,,,,,,,
,,SCA_TE12,SCA_TE12,,,IS,,,,,OK,,,,0,273527.27,1.8495532758117317,32052.719999999972,32.05271999999997,444,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_TE13,SCA_TE13,,,IS,,,,,OK,,,,0,283254.27999999997,1.8150809421416378,32052.719999999972,32.05271999999997,506,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_TE14,SCA_TE14,,,IS,,,,,OK,,,,0,297220.8,1.8108980342800884,32052.719999999972,32.05271999999997,558,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_FC17,SCA_FC17,,,IS,,,,,OK,,,,0,267059.12,1.776890963811383,30768.590000000026,30.768590000000025,608,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_FC18,SCA_FC18,,,IS,,,,,OK,,,,0,293604.95,1.8014117219064139,29680.469999999972,29.68046999999997,608,0.01|0.02,,,,,,,,,,,,,,,,
,,SCA_FC19,SCA_FC19,,,IS,,,,,OK,,,,0,325348.89,1.8788232215735237,32052.719999999972,32.05271999999997,608,0.01|0.02,,,,,,,,,,,,,,,,
